PriorityRank,customerID,ChurnProbability,RiskTier,CustomerSegment,tenure,MonthlyCharges,Contract,PaymentMethod,InternetService,TechSupport,LifecycleStage,SharedDriver,CustomerValue,RevenueAtRisk,ExpectedSavedRevenue,CampaignCost,ExpectedNetBenefit,DominantRiskDriver,SecondaryLever,RecommendedRetentionAction
1,1400-MMYXY,0.7387,High Risk,New High-Spend,3,105.9,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1270.8000000000002,938.7399600000001,281.62198800000004,15.0,266.62198800000004,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
2,5419-JPRRN,0.7661,High Risk,New High-Spend,1,101.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1217.4,932.6501400000001,279.795042,15.0,264.795042,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
3,7216-EWTRS,0.769,High Risk,New High-Spend,1,100.8,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1209.6,930.1823999999999,279.05472,15.0,264.05472,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
4,6496-SLWHQ,0.7271,High Risk,New High-Spend,3,105.0,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1260.0,916.146,274.8438,15.0,259.8438,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
5,3389-YGYAI,0.7235,High Risk,New High-Spend,8,105.5,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1266.0,915.951,274.7853,15.0,259.7853,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
6,5052-PNLOS,0.7237,High Risk,New High-Spend,3,105.35,Month-to-month,Bank transfer (automatic),Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1264.1999999999998,914.9015399999998,274.47046199999994,15.0,259.47046199999994,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
7,7181-BQYBV,0.7427,High Risk,New High-Spend,1,102.45,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1229.4,913.0753800000001,273.922614,15.0,258.922614,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
8,0107-YHINA,0.7624,High Risk,New High-Spend,1,99.75,Month-to-month,Electronic check,Fiber optic,No,Onboarding window (0-12 months),Month-to-month contract,1197.0,912.5928,273.77783999999997,15.0,258.77783999999997,Price and plan fit,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
9,1875-QIVME,0.7279,High Risk,New High-Spend,2,104.4,Month-to-month,Electronic check,Fiber optic,Yes,Onboarding window (0-12 months),Month-to-month contract,1252.8000000000002,911.9131200000002,273.57393600000006,15.0,258.57393600000006,Price and plan fit,Service quality,Discounted 12- or 24-month contract with loyalty bonus + Plan right-sizing review and personalised tariff
10,3606-TWKGI,0.7071,High Risk,New High-Spend,13,106.9,Month-to-month,Electronic check,Fiber optic,No,Established (13+ months),Month-to-month contract,1282.8000000000002,907.0678800000001,272.120364,15.0,257.120364,Service quality,Billing and payment,Discounted 12- or 24-month contract with loyalty bonus + Service-quality audit with proactive fix and loyalty credit
